Sentiment,SentimentText
0,ద‌ర్శ‌క‌ధీరుడు రాజ‌మౌళి తెర‌కెక్కిస్తున్న ఆర్ఆర్ఆర్ చిత్రానికి సంబంధించి గ‌త కొన్ని రోజులుగా అనేక ప్ర‌చారాలు జ‌రుగుతున్నాయి.
0,వీటిలో నిజ‌మెంతో తెలియ‌క అభిమానులు క‌న్ఫ్యూజ్ అవుతున్నారు.
0,దీనిపై క్లారిటీ ఇచ్చిన జ‌క్క‌న్న ఆర్ఆర్ఆర్ లో మోహ‌న్ లాల్ న‌టించడం లేద‌ని తేల్చి చెప్పారు.
1,ఇటీవ‌ల మ‌ల‌యాళ మెగాస్టార్ మోహ‌న్ లాల్ ఆర్ఆర్ఆర్ చిత్రంలో ఎన్టీఆర్‌కి బాబాయ్‌గా క‌నిపించ‌నున్నార‌ని జోరుగా ప్ర‌చారం జ‌రిగింది
1,దీనిపై క్లారిటీ ఇచ్చిన జ‌క్క‌న్న ఆర్ఆర్ఆర్ లో మోహ‌న్ లాల్ న‌టించడం లేద‌ని తేల్చి చెప్పారు. దీంతో పుకార్ల‌కి పులిస్టాప్ ప‌డింది.
1,సంద‌ర్భంగా  ఎలాంటి స‌ర్‌ప్రైజ్ ఇస్తాడా అని ప్రేక్ష‌కులు ఆస‌క్తిగా గ‌మ‌నిస్తున్నారు. 
1,దీంతో పుకార్ల‌కి పులిస్టాప్ ప‌డింది.
1, కీలక పాత్రలో హిందీ సూపర్ స్టార్ అజయ్ దేవగన్ నటిస్తోన్న సంగతి తెలిసిందే.
0,"ఎన్టీఆర్‌కు జోడిగా ఇంగ్లీష్ నటి ఒలివియా మోరీస్, చరణ్‌కు జోడిగా హిందీ నటి అలియా భట్ నటిస్తోంది.  "
0,కీలక పాత్రలో హిందీ సూపర్ స్టార్ అజయ్ దేవగన్ నటిస్తోన్న సంగతి తెలిసిందే. 
0,కరోనా బారి నుంచి ప్రజలను రక్షించడం కోసమే ప్రభు త్వం లాక్‌డౌన్‌ను పొడిగించినట్లు సత్తుపల్లి ఎమ్మెల్యే సండ్ర వెంకటవీరయ్య పేర్కొన్నారు
1,ఖాళీ రోడ్ల‌పై కంగారూ గెంతులు
1,లాక్ డౌన్ ప్రభావంతో ప్ర‌జ‌లంతా హోం క్వారంటైన్‌లో ఉండిపోయారు
0,ఆస్ట్రేలియా: ప్ర‌పంచ‌వ్యాప్తంగా చాలా దేశాల్లో క‌రోనా మ‌హ‌మ్మారి ధాటికి అంద‌రూ ఇళ్ల‌కే ప‌రిమిత‌మైపోయిన విష‌యం తెలిసిందే.  
1,దీంతో వ‌న్య‌ప్రాణులు అట‌వీ ప్రాంతాల్లో నుంచి జ‌నావాసాల్లోకి వ‌స్తున్నాయి.
